,Product name,Rating,Summary,Review,sentiment_score,sentiment
11,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Awesome,Reasons to get it over regular 13- 50 percent extra ram- Better camera sensors- Cinematic mode at 4k 30 fps (13 could only do     1080p 30fps)- Action mode for super stabilised videos- Better low light photos thanks to photonic engine- Better battery life - Extra gpu core for high graphics performance- New improved modem for fast and efficient mobile connectivity - Dual ambient light sensors - Better camera flash- Crash detection - Satellite connectivity (though currently not in I...READ MORE,0.9612,Positive
12,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,Amazing!pictures...📸 everything good 😍READ MORE,0.4404,Positive
13,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Best in the market!,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.READ MORE",0.9337,Positive
14,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Thanku filipkart best phone in the world ❤️READ MORE,0.6369,Positive
16,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Waste of money!,"The volume down button is struck and unable to volume up. The Flipkart team is saying it is open box delivery so they can't help.......how can we check the volume without opening/start the mobile, when i ask this question the customer support placing my call on hold and dropping my callREAD MORE",0.1779,Neutral
17,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Wonderful,"Amazing product, love the design and the feel is awesome Performance is very smooth.READ MORE",0.9201,Positive
18,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific,Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍READ MORE,-0.296,Negative
19,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Amazing device for daily life about camera about sound quality all are goodREAD MORE,0.5859,Positive
21,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Just perfect!!READ MORE,0.0,Neutral
22,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Best in the market!,Performance is really good and camera quality is fineREAD MORE,0.4927,Positive
23,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Good quality product,Nice look badiya phone after one year use great workingREAD MORE,0.7845,Positive
24,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,I used iPhone 12 mini and now upgraded with iPhone 14. Camera quality is awesome.Full day battery backup.Super Retina display with high dynamic range is awesome.In terms of camera and battery life is big upgrade for me.READ MORE,0.3818,Positive
25,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,"Very nice product, camera quality is just amazing everything seems too real.Phone is very fast.READ MORE",0.7841,Positive
26,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Wonderful,Excellent Product 🥳READ MORE,0.5719,Positive
27,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Super camera.READ MORE,0.5994,Positive
28,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,Awesome phone with amazing featuresREAD MORE,0.836,Positive
29,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Awesome,The Much BetterREAD MORE,0.0,Neutral
30,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,"Just awesome!!I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it. Camera is best. Battery giving a full day. Speaker sounds wide and clear. Must buy!!READ MORE",0.8834,Positive
31,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Camera cinematic next level🔥🔥READ MORE,0.0,Neutral
32,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Very attractive Must buyLove It❤️❤️READ MORE,0.4927,Positive
33,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Absolutely AwesomeREAD MORE,0.0,Neutral
34,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Camera is superb.nice phoneREAD MORE,0.0,Neutral
35,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Fabulous!,"It's a apple device .. that means you get the good old ios . No performance issue , supper ram and power management . My slightly distasteful remark would be on its camera .READ MORE",0.1779,Neutral
36,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Best in the market!,"Absolutely Awesome, Switching to iPhone was not easy but once i started using this phone. I am loving it.READ MORE",0.8097,Positive
37,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Great picture quality. Performance is good as always. The important addition is the cinematographic video recordingREAD MORE,0.8316,Positive
38,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,An absolute beast. This is what you expect after paying such amount. Everything is perfect about this phone from build quality to camera to performance. Absolutely worth it.READ MORE,0.7089,Positive
39,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Don't waste your money,Suddenly power off  every 2 -3 min and battery percentage changes and Flipkart not replace  mobileREAD MORE,0.0,Neutral
40,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Fabulous!,"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy.READ MORE",0.9313,Positive
41,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,After a losts of efforts when you get then Just Awesome 😊READ MORE,0.6249,Positive
42,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,I switch  from x r  to 14 great experience Best display and sound quality and some fabulous changes in camera is also.greatREAD MORE,0.9136,Positive
43,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,"Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.Built quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images.READ MORE",0.991,Positive
45,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Excellent camera 😍READ MORE,0.5719,Positive
46,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Just wow😍😘READ MORE,0.0,Neutral
47,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,Excellent build quality. Much faster and smootherREAD MORE,0.5719,Positive
48,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,Decent purchase:)READ MORE,0.0,Neutral
49,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Wonderful,"My 1st IOS device so far good😊Midnight Black the best you can have, the Camera quality is excellent along with the multitasking performance. Go for it!READ MORE",0.836,Positive
50,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,What a phone.READ MORE,0.0,Neutral
51,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,Nice looking phone.READ MORE,0.4215,Positive
52,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Delightful,Thanks Flipkart for this all new iPhone without any problem I got it and I'm finally Shifted 5 years later  redmi not 5 pro to new. iPhone 14 i really do hard work for this thing Last 8 month  Thanks 😊 I'm happy 😁 ❤️READ MORE,0.8773,Positive
54,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Excellent camera😊READ MORE,0.5719,Positive
55,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Looking Awesome ✨✨READ MORE,0.6249,Positive
56,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,Love IPhone Dream IPhone..💜😍✌️🖤READ MORE,0.7351,Positive
57,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,Best phone but same as Iphone 13. There is no difference in 13 and 14.READ MORE,-0.0516,Neutral
58,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,awesome build quality and featuresREAD MORE,0.6249,Positive
59,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific,Purchase on First day sale in BBD23.Will share full review after use.I am shifting from Android to IPhone.READ MORE,0.296,Positive
60,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Really an overall great productREAD MORE,0.6557,Positive
61,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,iphone is great Canera qulity is best Battery is powerful All dizine bestWork all best All over bestREAD MORE,0.946,Positive
62,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,Loved it 👍READ MORE,0.5994,Positive
63,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,Best in the market. Camera quality awesome Battery easily goes for a daySpeakers are really good.READ MORE,0.8934,Positive
64,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,Best Phone in market.READ MORE,0.6369,Positive
65,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Best in the market!,Awesome cameraREAD MORE,0.6249,Positive
66,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Really Nice,4 out of 5 Phone was so handy and superbREAD MORE,0.0,Neutral
67,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Worthless,"I've recieved defective product and no one is taking responsibility of it nowFlipkart saying go to apple, apple saying ask Flipkart for replacement.The wifi is not getting connected and once it gets connected, it keeps getting disconnected after 5 minutes and when I'm playing any live video on the phone it's keeps lagging and hang in the middle. So frustrating.READ MORE",-0.6597,Negative
68,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Wonderful,"Review after a week Overall a powerful package for photo, video and gaming. Only thing which could have been better is battery, though it works whole day with low usage , but extensive use it would not go beyond half day.Camera 4/5Pictures in full zoom- 3Sound quality- 5/5Display- 4.5/5Performance- 5READ MORE",0.3182,Positive
69,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,This is my first IOS device and I like it..I gifted this to my younger brother and he loved it. iPhone in-hand feel is damn premium 🙌🏻 also the camera quality is top notch to be honest I bought this phone only for smooth processor and camera quality. Just go for itREAD MORE,0.8316,Positive
70,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Don't waste your money,Very poor delivery service. I didn't exchange the phne and delivery executive charged me extra then what was required to pay and after calling flipkart customer very poor response from them . Not with buying goods for flupkartREAD MORE,-0.8396,Negative
71,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Awesome,Nice oneREAD MORE,0.4215,Positive
72,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Love itREAD MORE,0.6369,Positive
73,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,I'm happy with the phone and the deal I got from the Flipkart.READ MORE,0.5719,Positive
74,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Best camera phoneREAD MORE,0.6369,Positive
75,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,Amazing Product 😇💯READ MORE,0.5859,Positive
76,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Good one got it around 67k . This is my first Apple mobile. Took time to get habituated to apple eco system but worth the wait. Simple and easy.READ MORE,0.5106,Positive
77,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,It looks so pretty 🫣❤️READ MORE,0.6269,Positive
78,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Best in the market!,Quality + Performance + Integrity = Apple IncREAD MORE,0.3818,Positive
79,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,"No doubt, awesome product, go for itREAD MORE",0.1027,Neutral
80,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Simply superb so farNo complaints as of nowPhone was delivered within one day after orderREAD MORE,0.2782,Positive
81,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,I using this mobile for 2 days before I using Samsung m30 so..... This iPhone was very handy Performance a15 bionic with 6 core processorWe can't find the difference day to day life soo...this is awesome next camera camera is top notch I don't how to tell in words this very good camera same as dslr and videos is soo good quality but action mode is take 2.8k resolution and in dimlight is was sooo bad so while you take with action use gimbal ..... And over all the phone very good 👍READ MORE,0.6891,Positive
82,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Best qualityREAD MORE,0.6369,Positive
83,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,Nice Cinematic Video and Portrait photographyREAD MORE,0.4215,Positive
84,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,You ever Heard the word Satisfaction...Yesss that is exactly how it feels to have it.READ MORE,0.0,Neutral
85,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,"I wanted to buy yellow colour but that was not delivering on my pin code so went for this colour.After receiving this, I have no regression.Love this.iPhone heats a lot because of its built. Its frame is steel and the back is glass but it has great things when it gets hot, it restricts some features to cool it down.The camera is good, sometimes it misses focus.Performance is the best part of it.READ MORE",0.9209,Positive
86,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Useless product,Over heating normal useREAD MORE,0.0,Neutral
87,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,Amazing camera❤️❤️❤️READ MORE,0.5859,Positive
88,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,I just love this phone  for the 1st time and the performance is awesome  just wow camera quality battery everything is awesome . I prefer anyone who can use this phone . Iphone using it for the 1st time never getting any problem . Just thank you Flipkart for providing me these at low cost as compared to retail shops . Thank you Flipkart and Apple . Just love it .READ MORE,0.9789,Positive
89,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Perfect product!,Amazing deviceI switch to iPhone 14 from iPhone 8. Great camera and power management full day battery backup. Sound quality and display also awesome. Just go for it if you have enough moneyREAD MORE,0.9186,Positive
90,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Delightful,"Excellent Smartphone, Amazing Picture quality, Good sound qualityREAD MORE",0.886,Positive
91,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,I simply love it🥰🥰🥰🥰🥰Camera quality 🥰🔋😍😍Very happy 😊READ MORE,0.8479,Positive
92,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,Awesome deal Tq Flipkart.IPhone 14 was powerfully packed 5G .Battery is good.Cameras next level .finally iPhone 14 is superb.loved ItREAD MORE,0.6249,Positive
93,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Useless product,"Very disgusting, my iphone battery health goes 99% within 22 days of purchasing. Even I'm not played a single game 👎👎👎READ MORE",-0.6936,Negative
94,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Awesome fone in best price from FlipkartREAD MORE,0.8519,Positive
95,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Very nice phone. Ordered midnight Black though it is little greenish black in colurREAD MORE,0.4754,Positive
96,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Unsatisfactory,I don't know why people never talk about its heat issue.. i was Android user first time using iphone 14.. bro it heat like tawa when charging. And even normal use too. I was planning to buy Google 7 but then I saw so much user saying Google 7 have heat issue so I decided spend some more money go for iphone as lots of people never say any negative for iphone... Trust me I will never buy iPhone again...READ MORE,0.8806,Positive
99,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,"Great phone with great capabilities 🔥Excellent camera 📸Processor same as my 13pro New blue colour is awesome ❤️I have :- 14pro . 13pro . 12. 12mini . Also new this one iphone 14 . One thing is common in all have , there is no lag till the date. The one thing I always said it is what it is🔥🔥READ MORE",0.9246,Positive
100,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Good nice trusted i checked everything i was conserned about weather I'll get fooled by delivery and all but it was new i checked everything as people used to say we get refurbished phone no it was good new freshREAD MORE,0.5023,Positive
101,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Nice product,Thanks for FlipkartREAD MORE,0.4404,Positive
102,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Good quality product,"Iphone 14 Awesome 😍😍 . Easy to carry i phone . Light weight. And very effective in daily usage. Battery is effective according to daily usage. Pictures, sound output, is always the best.Camera is always amazing ( cinematic video is wow). Colour is awesome 🙂🙂 overall very good 😊😊READ MORE",0.9829,Positive
103,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,Highly recommended best price since launch loud speaker is amazing display is another world nothing to say it's overall quite amazing phone dont think ggo for itREAD MORE,0.9345,Positive
104,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",3,Just okay,Fast delivery nice phoneREAD MORE,0.4215,Positive
105,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Perfect product!,I love the product. Love the camera.READ MORE,0.8555,Positive
106,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Worth buying....READ MORE,0.2263,Positive
108,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Did not meet expectations,Mic not workingREAD MORE,0.0,Neutral
109,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,Product is amazing as expected from iphone. Got this recently in a sale with a whopping price of 63k including all discounts. Loving it!!!!READ MORE,0.8271,Positive
110,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,Superb camera and performance... Battery life is also good.... Great Display and awesome looks... 60hz refresh rate is better than android 90hz... Loved it ❤READ MORE,0.9719,Positive
111,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Fabulous!,Nice Phone.READ MORE,0.4215,Positive
112,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,Just wowREAD MORE,0.0,Neutral
114,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Premium feel ..i phone 14 black colour best phone..*****READ MORE,0.6369,Positive
115,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,"Camera: Rear Camera is Too GoodFront Camera : Average Performance : BeastSecurity : BestSoftware : BestiPhone 14 is a complete package, go for it without any hesitation. This phone changed me from Android Fanboy to iPhone fanboy.READ MORE",0.2057,Positive
116,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,best phone in this segment love for apple indiaREAD MORE,0.8555,Positive
117,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,It's awesome 😎READ MORE,0.6249,Positive
118,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Absolute rubbish!,"Defective product,green line issueREAD MORE",-0.4404,Negative
120,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,"I was an android user since six years ,Upgraded to iPhone 14 and it is worth itFeatures are next level 👍READ MORE",0.2263,Positive
121,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Best smartphone I can get my hands on till this point of my life.READ MORE,0.6369,Positive
122,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Wonderful,PHONE IS JUST AWESOME BUT VOLTE NOT SUPPORTREAD MORE,0.3716,Positive
123,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,Best phone but same as Iphone 13. There is no difference in 13 and 14.READ MORE,-0.0516,Neutral
124,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Value-for-money,Nice phone but improvement of designREAD MORE,0.7096,Positive
125,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific,"I am very happy with the purchase , i was confused between blue and yellow but yellow is very bright and refreshing color and look different  blue is also nice but after putting back cover we can not differentiate if its is iphone 13 or 14 better go for yellow iphone its very bright and attractive lot of people asked me if i bough new iphone or something thankyou flipkart now comes to the performance battery is good display is very smooth looks very premiums n feels very premium. Go for itREAD MORE",0.98,Positive
126,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,As we all know about her she is the queen for everyone 😀READ MORE,0.0,Neutral
127,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,Great performanceREAD MORE,0.6249,Positive
128,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,Excellent product..READ MORE,0.5719,Positive
129,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Did not meet expectations,Battery very low time not supporting FlipkartREAD MORE,-0.5857,Negative
130,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,"✓Comfortable, high-end build✓OLED screen looks fantastic✓A15 chip performs great✓Good camera upgrades✓Dependable battery lifeREAD MORE",0.5106,Positive
